metric,metric_group,metric_direction,budget,contrast_id,contrast_family,model_a,model_b,interpretation,pair_count,model_a_mean,model_b_mean,mean_difference_model_b_minus_model_a,median_difference_model_b_minus_model_a,relative_change_percent,std_difference,standard_error_difference,paired_t_ci95_low,paired_t_ci95_high,bootstrap_reps,bootstrap_ci95_low,bootstrap_ci95_high,min_difference,max_difference,paired_cohens_dz,model_b_better_seed_count,model_a_better_seed_count,tie_seed_count,model_b_better_seed_fraction,exact_sign_flip_p_value,holm_p_by_metric_budget,holm_p_by_metric_all_budgets,holm_p_by_metric_group_budget
lm_loss,optimization,lower_is_better,10m,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,Effect of V3-style routing relative to standard MoE.,10,4.722819375991821,4.750471210479736,0.02765183448791504,0.026233434677124023,0.5854942204328528,0.03351685895066521,0.010598961429870317,0.003675317971718401,0.05162835100411167,20000,0.008726739883422851,0.04763097763061523,-0.015347957611083984,0.08674240112304688,0.8250127056540969,3,7,0,0.3,0.0234375,0.0703125,0.234375,0.0703125
lm_loss,optimization,lower_is_better,10m,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,Effect of MTP objective relative to next-token-only dense baseline.,10,4.783436632156372,4.765960311889648,-0.017476320266723633,-0.028253555297851562,-0.3653507218897831,0.039072350362106364,0.012355762068036083,-0.045426995930054906,0.01047435539660764,20000,-0.039194488525390626,0.00701756477355957,-0.061566829681396484,0.05436229705810547,-0.44728100830281087,7,3,0,0.7,0.1875,0.1875,1.0,0.1875
lm_loss,optimization,lower_is_better,25m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.39507360458374,4.692891836166382,0.2978182315826416,0.296872615814209,6.776183026196398,0.047275368218717445,0.014949784079428435,0.2639994704459313,0.3316369927193519,20000,0.2709671974182129,0.32610063552856444,0.24065637588500977,0.37470245361328125,6.299649115471686,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,25m,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,Effect of sparse MoE capacity relative to dense baseline.,10,4.39507360458374,4.3765092372894285,-0.018564367294311525,-0.021805286407470703,-0.42239036167563265,0.0291400877515404,0.009214904851204242,-0.03940993030743992,0.0022811957188168634,20000,-0.03528914451599121,-0.0013728618621826171,-0.054730892181396484,0.023157596588134766,-0.6370731431078198,7,3,0,0.7,0.076171875,0.3046875,0.533203125,0.3046875
lm_loss,optimization,lower_is_better,25m,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,Supporting comparison for combined MLA plus MoE relative to dense baseline.,10,4.39507360458374,4.677081298828125,0.28200769424438477,0.27984046936035156,6.416449862188232,0.04991686830042144,0.015785099749198984,0.24629931778215325,0.3177160707066163,20000,0.2541328430175781,0.3120244026184082,0.21307134628295898,0.3718113899230957,5.649547013789801,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,25m,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,Effect of adding MoE capacity on top of MLA.,10,4.692891836166382,4.677081298828125,-0.015810537338256835,-0.03561258316040039,-0.33690393663904356,0.042568469766665305,0.013461332097067876,-0.04626218616167414,0.014641111485160473,20000,-0.03599534034729004,0.012993097305297852,-0.045166969299316406,0.09386110305786133,-0.37141427504725144,7,3,0,0.7,0.25390625,0.76171875,1.0,0.76171875
lm_loss,optimization,lower_is_better,25m,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,Effect of adding MLA attention inside the MoE setting.,10,4.3765092372894285,4.677081298828125,0.3005720615386963,0.2791783809661865,6.86784935760479,0.046315199876355594,0.014646152189523257,0.2674401634565716,0.333703959620821,20000,0.2751955509185791,0.3290396690368652,0.2579946517944336,0.38614940643310547,6.489706669540718,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,25m,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,Effect of V3-style routing relative to standard MoE.,10,4.3765092372894285,4.367259359359741,-0.0092498779296875,0.001476287841796875,-0.21135287116214044,0.02919736770806087,0.009233018363892252,-0.03013641655528547,0.011636660695910468,20000,-0.02760658264160156,0.006467962265014648,-0.07146739959716797,0.024086475372314453,-0.3168052004610599,4,6,0,0.4,0.37890625,0.76171875,1.0,0.76171875
lm_loss,optimization,lower_is_better,25m,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,Effect of MTP objective relative to next-token-only dense baseline.,10,4.39507360458374,4.382764720916748,-0.012308883666992187,-0.011911630630493164,-0.2800609221687419,0.03455690202936874,0.010927851929210008,-0.03702940218202757,0.012411634848043196,20000,-0.033391714096069336,0.006879472732543945,-0.08906126022338867,0.04395103454589844,-0.35619175748252213,8,2,0,0.8,0.318359375,0.76171875,1.0,0.76171875
lm_loss,optimization,lower_is_better,50m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.250305151939392,4.4685547828674315,0.21824963092803956,0.2019355297088623,5.134916744235491,0.044015025763370456,0.013918773268324205,0.1867631782825321,0.249736083573547,20000,0.19297943115234376,0.24475042819976806,0.16503286361694336,0.286731481552124,4.958525574911014,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
