metric,metric_group,metric_direction,budget,seed,model,value
test_loss,quality,lower_is_better,25m,2027,dense_121m,4.556402339935302
test_loss,quality,lower_is_better,25m,2027,mla_121m,4.59549572467804
test_loss,quality,lower_is_better,25m,2027,mtp_121m,4.554399228096008
test_loss,quality,lower_is_better,25m,2027,moe_220m,4.520900359153748
test_loss,quality,lower_is_better,25m,2027,mla_moe_220m,4.578341851234436
test_loss,quality,lower_is_better,25m,2027,v3_routing_220m,4.533535008430481
test_loss,quality,lower_is_better,25m,31415,dense_121m,4.551598389148712
test_loss,quality,lower_is_better,25m,31415,mla_121m,4.609473357200622
test_loss,quality,lower_is_better,25m,31415,mtp_121m,4.549923920631409
test_loss,quality,lower_is_better,25m,31415,moe_220m,4.5371862363815305
test_loss,quality,lower_is_better,25m,31415,mla_moe_220m,4.588338017463684
test_loss,quality,lower_is_better,25m,31415,v3_routing_220m,4.541315162181855
test_loss,quality,lower_is_better,25m,4441,dense_121m,4.5473325324058536
test_loss,quality,lower_is_better,25m,4441,mla_121m,4.582543549537658
test_loss,quality,lower_is_better,25m,4441,mtp_121m,4.552958743572235
test_loss,quality,lower_is_better,25m,4441,moe_220m,4.538250508308411
test_loss,quality,lower_is_better,25m,4441,mla_moe_220m,4.5684409427642825
test_loss,quality,lower_is_better,25m,4441,v3_routing_220m,4.5353090190887455
test_loss,quality,lower_is_better,25m,5501,dense_121m,4.553715810775757
test_loss,quality,lower_is_better,25m,5501,mla_121m,4.597088627815246
test_loss,quality,lower_is_better,25m,5501,mtp_121m,4.560664045810699
test_loss,quality,lower_is_better,25m,5501,moe_220m,4.537363939285278
test_loss,quality,lower_is_better,25m,5501,mla_moe_220m,4.578378801345825
test_loss,quality,lower_is_better,25m,5501,v3_routing_220m,4.533975195884705
test_loss,quality,lower_is_better,25m,6173,dense_121m,4.5584601879119875
test_loss,quality,lower_is_better,25m,6173,mla_121m,4.6285189485549925
test_loss,quality,lower_is_better,25m,6173,mtp_121m,4.534046697616577
test_loss,quality,lower_is_better,25m,6173,moe_220m,4.5389330768585205
test_loss,quality,lower_is_better,25m,6173,mla_moe_220m,4.564995393753052
test_loss,quality,lower_is_better,25m,6173,v3_routing_220m,4.541857461929322
test_loss,quality,lower_is_better,25m,8191,dense_121m,4.560905327796936
test_loss,quality,lower_is_better,25m,8191,mla_121m,4.610872278213501
test_loss,quality,lower_is_better,25m,8191,mtp_121m,4.527747197151184
test_loss,quality,lower_is_better,25m,8191,moe_220m,4.551823134422302
test_loss,quality,lower_is_better,25m,8191,mla_moe_220m,4.567454433441162
test_loss,quality,lower_is_better,25m,8191,v3_routing_220m,4.54500009059906
test_loss,quality,lower_is_better,25m,10007,dense_121m,4.566771466732025
test_loss,quality,lower_is_better,25m,10007,mla_121m,4.6150144100189205
test_loss,quality,lower_is_better,25m,10007,mtp_121m,4.55489461183548
test_loss,quality,lower_is_better,25m,10007,moe_220m,4.534740009307861
test_loss,quality,lower_is_better,25m,10007,mla_moe_220m,4.589117784500122
test_loss,quality,lower_is_better,25m,10007,v3_routing_220m,4.543082468509674
test_loss,quality,lower_is_better,25m,11213,dense_121m,4.558523049354553
test_loss,quality,lower_is_better,25m,11213,mla_121m,4.58735577583313
test_loss,quality,lower_is_better,25m,11213,mtp_121m,4.554262471199036
test_loss,quality,lower_is_better,25m,11213,moe_220m,4.531413204669953
test_loss,quality,lower_is_better,25m,11213,mla_moe_220m,4.588997535705566
test_loss,quality,lower_is_better,25m,11213,v3_routing_220m,4.538183310031891
test_loss,quality,lower_is_better,25m,12721,dense_121m,4.586898398399353
test_loss,quality,lower_is_better,25m,12721,mla_121m,4.621560287475586
test_loss,quality,lower_is_better,25m,12721,mtp_121m,4.572208597660064
test_loss,quality,lower_is_better,25m,12721,moe_220m,4.532688474655151
test_loss,quality,lower_is_better,25m,12721,mla_moe_220m,4.60919683933258
test_loss,quality,lower_is_better,25m,12721,v3_routing_220m,4.543990888595581
test_loss,quality,lower_is_better,50m,1337,dense_121m,4.368580937385559
test_loss,quality,lower_is_better,50m,1337,mla_121m,4.4190924048423765
test_loss,quality,lower_is_better,50m,1337,mtp_121m,4.359034402370453
test_loss,quality,lower_is_better,50m,1337,moe_220m,4.351948599815369
test_loss,quality,lower_is_better,50m,1337,mla_moe_220m,4.383444731235504
test_loss,quality,lower_is_better,50m,1337,v3_routing_220m,4.344422643184662
test_loss,quality,lower_is_better,50m,2027,dense_121m,4.3841725754737855
test_loss,quality,lower_is_better,50m,2027,mla_121m,4.424974074363709
test_loss,quality,lower_is_better,50m,2027,mtp_121m,4.373787515163421
test_loss,quality,lower_is_better,50m,2027,moe_220m,4.3509077453613285
test_loss,quality,lower_is_better,50m,2027,mla_moe_220m,4.3991041231155394
test_loss,quality,lower_is_better,50m,2027,v3_routing_220m,4.357397704124451
test_loss,quality,lower_is_better,50m,31415,dense_121m,4.389096040725708
test_loss,quality,lower_is_better,50m,31415,mla_121m,4.439769589900971
test_loss,quality,lower_is_better,50m,31415,mtp_121m,4.36645409822464
test_loss,quality,lower_is_better,50m,31415,moe_220m,4.362795360088349
test_loss,quality,lower_is_better,50m,31415,mla_moe_220m,4.411459701061249
test_loss,quality,lower_is_better,50m,31415,v3_routing_220m,4.365656147003174
test_loss,quality,lower_is_better,50m,4441,dense_121m,4.3731245732307436
test_loss,quality,lower_is_better,50m,4441,mla_121m,4.415917935371399
test_loss,quality,lower_is_better,50m,4441,mtp_121m,4.369357187747955
test_loss,quality,lower_is_better,50m,4441,moe_220m,4.353256869316101
test_loss,quality,lower_is_better,50m,4441,mla_moe_220m,4.387184388637543
test_loss,quality,lower_is_better,50m,4441,v3_routing_220m,4.3505235767364505
test_loss,quality,lower_is_better,50m,5501,dense_121m,4.376217577457428
test_loss,quality,lower_is_better,50m,5501,mla_121m,4.422588503360748
test_loss,quality,lower_is_better,50m,5501,mtp_121m,4.384311652183532
test_loss,quality,lower_is_better,50m,5501,moe_220m,4.346222908496856
test_loss,quality,lower_is_better,50m,5501,mla_moe_220m,4.395386440753937
test_loss,quality,lower_is_better,50m,5501,v3_routing_220m,4.359897792339325
test_loss,quality,lower_is_better,50m,6173,dense_121m,4.3715614986419675
test_loss,quality,lower_is_better,50m,6173,mla_121m,4.44539293050766
test_loss,quality,lower_is_better,50m,6173,mtp_121m,4.35964717388153
test_loss,quality,lower_is_better,50m,6173,moe_220m,4.349330341815948
test_loss,quality,lower_is_better,50m,6173,mla_moe_220m,4.395835366249084
test_loss,quality,lower_is_better,50m,6173,v3_routing_220m,4.356368937492371
test_loss,quality,lower_is_better,50m,8191,dense_121m,4.381881213188171
test_loss,quality,lower_is_better,50m,8191,mla_121m,4.437835395336151
test_loss,quality,lower_is_better,50m,8191,mtp_121m,4.356437284946441
test_loss,quality,lower_is_better,50m,8191,moe_220m,4.364976580142975
test_loss,quality,lower_is_better,50m,8191,mla_moe_220m,4.396445088386535
test_loss,quality,lower_is_better,50m,8191,v3_routing_220m,4.361165997982025
test_loss,quality,lower_is_better,50m,10007,dense_121m,4.38505642414093
test_loss,quality,lower_is_better,50m,10007,mla_121m,4.4353622269630435
test_loss,quality,lower_is_better,50m,10007,mtp_121m,4.35151941537857
test_loss,quality,lower_is_better,50m,10007,moe_220m,4.354154121875763
test_loss,quality,lower_is_better,50m,10007,mla_moe_220m,4.401279494762421
test_loss,quality,lower_is_better,50m,10007,v3_routing_220m,4.355939884185791
test_loss,quality,lower_is_better,50m,11213,dense_121m,4.382335021495819
test_loss,quality,lower_is_better,50m,11213,mla_121m,4.416437129974366
test_loss,quality,lower_is_better,50m,11213,mtp_121m,4.3593060445785525
test_loss,quality,lower_is_better,50m,11213,moe_220m,4.347143068313598
test_loss,quality,lower_is_better,50m,11213,mla_moe_220m,4.3995625376701355
test_loss,quality,lower_is_better,50m,11213,v3_routing_220m,4.354556338787079
test_loss,quality,lower_is_better,50m,12721,dense_121m,4.377224540710449
test_loss,quality,lower_is_better,50m,12721,mla_121m,4.422314887046814
test_loss,quality,lower_is_better,50m,12721,mtp_121m,4.360231485366821
test_loss,quality,lower_is_better,50m,12721,moe_220m,4.3377180004119875
test_loss,quality,lower_is_better,50m,12721,mla_moe_220m,4.396140525341034
test_loss,quality,lower_is_better,50m,12721,v3_routing_220m,4.34248486995697
validation_perplexity,quality,lower_is_better,10m,1337,dense_121m,149.9861433981014
validation_perplexity,quality,lower_is_better,10m,1337,mla_121m,161.15644062550837
validation_perplexity,quality,lower_is_better,10m,1337,mtp_121m,149.85539794973965
validation_perplexity,quality,lower_is_better,10m,1337,moe_220m,145.8735387187033
validation_perplexity,quality,lower_is_better,10m,1337,mla_moe_220m,148.50015179270721
validation_perplexity,quality,lower_is_better,10m,1337,v3_routing_220m,141.8898530742287
validation_perplexity,quality,lower_is_better,10m,2027,dense_121m,154.4471285319663
validation_perplexity,quality,lower_is_better,10m,2027,mla_121m,162.0877013528961
validation_perplexity,quality,lower_is_better,10m,2027,mtp_121m,155.36195444557146
validation_perplexity,quality,lower_is_better,10m,2027,moe_220m,143.72521834892214
validation_perplexity,quality,lower_is_better,10m,2027,mla_moe_220m,152.0605103206948
validation_perplexity,quality,lower_is_better,10m,2027,v3_routing_220m,144.5988760996419
validation_perplexity,quality,lower_is_better,10m,31415,dense_121m,148.8199964750898
validation_perplexity,quality,lower_is_better,10m,31415,mla_121m,160.1546823454474
validation_perplexity,quality,lower_is_better,10m,31415,mtp_121m,156.66688497132208
validation_perplexity,quality,lower_is_better,10m,31415,moe_220m,142.75577138667683
